abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Bachelor;UNIVERSITAET_ETH;Universität Bern;
Master;UNIVERSITAET_ETH;Universität Bern;
Bachelor;UNIVERSITAET_ETH;Universität Basel;
Master;UNIVERSITAET_ETH;Universität Basel;
Bachelor;UNIVERSITAET_ETH;Universität Freiburg;
Master;UNIVERSITAET_ETH;Universität Freiburg;
Bachelor;UNIVERSITAET_ETH;Universität Genf;
Master;UNIVERSITAET_ETH;Universität Genf;
Bachelor;UNIVERSITAET_ETH;Universität Lausanne;
Master;UNIVERSITAET_ETH;Universität Lausanne;
Bachelor;UNIVERSITAET_ETH;Universität Luzern;
Master;UNIVERSITAET_ETH;Universität Luzern;
Bachelor;UNIVERSITAET_ETH;Universität Neuenburg;
Master;UNIVERSITAET_ETH;Universität Neuenburg;
Bachelor;UNIVERSITAET_ETH;Universität St. Gallen;
Master;UNIVERSITAET_ETH;Universität St. Gallen;
Bachelor;UNIVERSITAET_ETH;Universität Zürich;
Master;UNIVERSITAET_ETH;Universität Zürich;
Bachelor;UNIVERSITAET_ETH;Università della Svizzera italiana;
Master;UNIVERSITAET_ETH;Università della Svizzera italiana;
Bachelor;UNIVERSITAET_ETH;Universitäre Fernstudien Schweiz (FernUni);
Master;UNIVERSITAET_ETH;Universitäre Fernstudien Schweiz (FernUni);
Bachelor;UNIVERSITAET_ETH;ETH Lausanne;
Master;UNIVERSITAET_ETH;ETH Lausanne;
Bachelor;UNIVERSITAET_ETH;ETH Zürich;
Master;UNIVERSITAET_ETH;ETH Zürich;
Bachelor;FACHHOCHSCHULE;Berner Fachhochschule BFH;
Master;FACHHOCHSCHULE;Berner Fachhochschule BFH;
Bachelor;FACHHOCHSCHULE;Zürcher Hochschule der Künste ZHdK;
Master;FACHHOCHSCHULE;Zürcher Hochschule der Künste ZHdK;
Bachelor;FACHHOCHSCHULE;Zürcher Hochschule für angewandte Wissenschaften ZHAW;
Master;FACHHOCHSCHULE;Zürcher Hochschule für angewandte Wissenschaften ZHAW;
Bachelor;FACHHOCHSCHULE;Fachhochschule Nordwestschweiz FHNW;
Master;FACHHOCHSCHULE;Fachhochschule Nordwestschweiz FHNW;
Bachelor;FACHHOCHSCHULE;Fachhochschule Zentralschweiz (Hochschule Luzern HSLU);
Master;FACHHOCHSCHULE;Fachhochschule Zentralschweiz (Hochschule Luzern HSLU);
Bachelor;FACHHOCHSCHULE;Scuola Universitaria Professionale della Svizzera Italiana SUPSI;
Master;FACHHOCHSCHULE;Scuola Universitaria Professionale della Svizzera Italiana SUPSI;
Bachelor;FACHHOCHSCHULE;Ostschweizer Fachhochschule;
Master;FACHHOCHSCHULE;Ostschweizer Fachhochschule;
Bachelor;FACHHOCHSCHULE;Fachhochschule Graubünden FHGR;
Master;FACHHOCHSCHULE;Fachhochschule Graubünden FHGR;
Bachelor;FACHHOCHSCHULE;Kalaidos Fachhochschule;
Master;FACHHOCHSCHULE;Kalaidos Fachhochschule;
Bachelor;FACHHOCHSCHULE;Fachhochschule Westschweiz HES-SO;
Master;FACHHOCHSCHULE;Fachhochschule Westschweiz HES-SO;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Interkantonale Hochschule für Heilpädagogik Zürich HfH;
Master;PAEDAGOGISCHE_HOCHSCHULE;Interkantonale Hochschule für Heilpädagogik Zürich HfH;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogisches Hochschulinstitut NMS Bern PH NMS;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogisches Hochschulinstitut NMS Bern PH NMS;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Bern PH Bern;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Bern PH Bern;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE;
Master;PAEDAGOGISCHE_HOCHSCHULE;Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Haute école pédagogique du canton de Vaud HEP Vaud;
Master;PAEDAGOGISCHE_HOCHSCHULE;Haute école pédagogique du canton de Vaud HEP Vaud;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Wallis HEP-VS;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Wallis HEP-VS;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Freiburg HEP PH FR;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Freiburg HEP PH FR;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Graubünden PHGR;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Graubünden PHGR;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Luzern PH Luzern;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Luzern PH Luzern;
Bachelor;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Nordwestschweiz PH FHNW;
Master;PAEDAGOGISCHE_HOCHSCHULE;Pädagogische Hochschule Nordwestschweiz PH FHNW;
