nameDe;nameFr;chShis;burNo;ctNo
Universität Basel;Université de Bâle;5;;
Universität Bern;Université de Berne;10;;
Universität Freiburg;Université de Fribourg;20;;
Universität Genf;Université de Geneve;30;;
Universität Lausanne;Université de Lausanne;40;;
Universität Luzern;Université de Lucerne;45;;
Universität Neuenburg;Université de Neuchatel;50;;
Universität St. Gallen;Universität St. Gallen;60;;
Universität Zürich;Universität Zürich;70;;
Università della Svizzera italiana;Università della Svizzera italiana;75;;
Universitäre Fernstudien Schweiz (FernUni);Formation universitaire à distance, CH (FernUni);77;;
Institut Universitaire Kurt Bösch (IUKB);Institut Universitaire Kurt Bösch (IUKB);78;;
ETH Lausanne;EPF Lausanne;80;;
ETH Zürich;EPF Zurich;90;;
Berner Fachhochschule BFH;Haute école spécialisée bernoise;100;;
Fachhochschule Westschweiz HES-SO;Haute école spécialisée de Suisse occidentale HES-SO;300;;
Schule für Gestaltung und Hochschule für Kunst Edhéa;Edhéa - école de design et haute école d'art du VS;300;;
Fachhochschule Nordwestschweiz FHNW;Fachhochschule Nordwestschweiz FHNW;400;;
Fachhochschule Zentralschweiz (Hochschule Luzern HSLU);Fachhochschule Zentralschweiz (Hochschule Luzern HSLU);800;;
Scuola Universitaria Professionale della Svizzera Italiana SUPSI;Scuola Universitaria Professionale della Svizzera Italiana SUPSI;900;;
Ostschweizer Fachhochschule;Ostschweizer Fachhochschule;1020;;
Fachhochschule Graubünden FHGR;Fachhochschule Graubünden;1050;;
Zürcher Hochschule der Künste ZHdK;Zürcher Hochschule der Künste ZHdK;1100;;
Zürcher Hochschule für angewandte Wissenschaften ZHAW;Zürcher Hochschule für angewandte Wissenschaften ZHAW;1100;;
Kalaidos Fachhochschule;Kalaidos Fachhochschule;1250;;
Pädagogische Hochschule Bern PH Bern;Pädagogische Hochschule Bern PH Bern;1500;;
Eidgenössische Hochschule für Berufsbildung EHB;Eidgenössische Hochschule für Berufsbildung EHB;1500;;
Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE;Haute école pédagogique des cantons de Berne, du Jura et de Neuchâtel HEP-BEJUNE;1500;;
Haute école pédagogique du canton de Vaud HEP Vaud;Haute école pédagogique du canton de Vaud HEP Vaud;1500;;
Pädagogische Hochschule Wallis HEP-VS;Haute école pédagogique du Valais PH-VS;1500;;
Pädagogische Hochschule Freiburg HEP PH FR;Haute école pédagogique Fribourg HEP FR;20;;
Interkantonale Hochschule für Heilpädagogik Zürich HfH;Interkantonale Hochschule für Heilpädagogik Zürich HfH;1500;;
Pädagogische Hochschule Graubünden PHGR;Pädagogische Hochschule Graubünden PHGR;1500;;
Pädagogisches Hochschulinstitut NMS Bern PH NMS;Pädagogisches Hochschulinstitut NMS Bern PH NMS;1500;;
Pädagogische Hochschule Luzern PH Luzern;Pädagogische Hochschule Luzern PH Luzern;1500;;
Pädagogische Hochschule Nordwestschweiz PH FHNW;Pädagogische Hochschule Nordwestschweiz PH FHNW;400;;
Pädagogische Hochschule St. Gallen PHSG;Pädagogische Hochschule St. Gallen PHSG;1500;;
Pädagogische Hochschule Schaffhausen PHSH;Pädagogische Hochschule Schaffhausen PHSH;1500;;
Pädagogische Hochschule Schwyz PHSZ;Pädagogische Hochschule Schwyz PHSZ;1500;;
Pädagogische Hochschule Thurgau PHTG;Pädagogische Hochschule Thurgau PHTG;1500;;
Pädagogische Hochschule Zürich PH Zürich;Pädagogische Hochschule Zürich PH Zürich;1100;;
Pädagogische Hochschule Zug PH Zug;Pädagogische Hochschule Zug PH Zug;1500;;
Hochschule für Logopädie Ostschweiz hlo;Hochschule für Logopädie Ostschweiz hlo;1500;;
SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA;SUPSI - Dipartimento formazione e apprendimento SUPSI-DFA;1500;;
GiBB Bern;GiBB Bern;;;CTBE0001
Haarakademie;Haarakademie;;;CTBE0002
Freies Gymnasium Zürich;Freies Gymnasium Zürich;;;CTBE0003
La Cambre École Nat. Sup. des Arts Visuels;La Cambre École Nat. Sup. des Arts Visuels;;;3216
Ankara Yildirim Beyazit University;Ankara Yildirim Beyazit University;;;3281
Medizinische Universität - Sofia;Medizinische Universität - Sofia;;;3192
Goethe-Universität Frankfurt am Main;Goethe-Universität Frankfurt am Main;;;3299
The Open University;The Open University;;;3263
Vysoka skola kreativni komunikace, s.r.o. Praha;Vysoka skola kreativni komunikace, s.r.o. Praha;;;3272
Universität Wien;Universität Wien ;;;2091
Universitatea de Medicinã si Farmacie, Timisoara;Universitatea de Medicinã si Farmacie, Timisoara;;;3001
Karlsruher Institut für Technologie KIT;Karlsruher Institut für Technologie KIT;;;2298
Technische Universität Wien;Technische Universität Wien;;;3261
Royal College of Art, London;Royal College of Art, London;;;3080
Trinity Laban Conservatoire of Music and Dance;Trinity Laban Conservatoire of Music and Dance;;;3126
Kolleg AAB Pristina;Kolleg AAB Pristina;;;3134
Universität Kore Enna;Universität Kore Enna;;;3088
